_reminder_notification_ __eoa__  __eoat__  _emoticon_	_blank_
remind me to buy a refill at _time_ todau	for sure _name_ what date would you like me to remind you on
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  __eoat__  hey can you remind me to wish someone on their birthday	_chatform_59_ __eoa__  sure _name_ i just need a few details __eoa__  _chatform_38_
remind for call toyota	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  _time_	for sure _name_ would you like me to wake you up _date_ or on some other date
set an alarm for me at _time_	for sure _name_ what date would you like me to remind you on
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  date date name of person name_of_person time time	_reminder_interim_ __eoa__  great ill call and remind you about this at _time_ on mon _date_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  date date name of person name_of_person time time __eou__  __eout__  _reminder_interim_ __eoa__  great ill call and remind you about this at _time_ on mon _date_ __eoa__  _hsl_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  date date name of person name_of_person time time __eou__  __eout__  _reminder_interim_ __eoa__  great ill call and remind you about this at _time_ on mon _date_ __eoa__  _hsl_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _blank_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  date date name of person name_of_person time time __eou__  __eout__  _reminder_interim_ __eoa__  great ill call and remind you about this at _time_ on mon _date_ __eoa__  _hsl_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _blank_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
