coll_id,conv_no,msg_type,direction,body
1640266,34,0,True,{emoticon}{thumbsup}
1640266,34,0,False,You are welcome.
1640266,35,22,False,"Hey _name_, this is your reminder from Haptik to take your Medicine Itraconazole capsules. Have a nice day ahead!"
1674745,3,22,False,"Time to grab a glass and drink water, _name_! {card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff50098a5200db924210d16be126954bbcd.jpeg?w=720&h=720}"
1674745,3,0,True,{emoticon}{thumbsup}
1674745,3,25,False,{}
1674745,4,0,True,{emoticon}{thumbsup}
1674745,4,25,False,{}
1674745,5,22,False,"Time to grab a glass and drink water, _name_! {card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff50098a5200db924210d16be126954bbcd.jpeg?w=720&h=720}"
1678763,2,22,False,"Rise and shine, _name_! This is your wake up call from Haptik. Have a nice day ahead!{card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff550bae2e143dd5d05557a91134352789d.jpeg?w=720&h=720}"
1678763,2,0,True,Thank u
1678763,2,0,False,"You are most welcome , Let me know if you need any further assistance , have a great day ahead ."
1700244,9,0,True,Remind me to buy a refill at 10 20 am todau
1700244,9,18,False,For sure _name_. What date would you like me to remind you on?
1700244,9,0,True,Today
1700244,9,29,False,"Alright, your reminder has been set for 09 January at 10:20 hrs. You will receive a call from us at that time on 9967054779. :)"
1799270,3,39,True,"Hi, I want to set a reminder to drink water. "
1799270,3,0,False,"{""data"":{""items"":[{""actionables"":[{""actionable_text"":""Yes, please do!"",""type"":""TEXT_ONLY"",""payload"":{""message"":""I want to set a reminder to drink water. {repeat_banner}"",""gogo_message"":""""},""location_required"":false,""is_default"":1}],""thumbnail"":{""image"":""http://expert-dashboard.s3.amazonaws.com/content/12df53fea8b3adfa6c2ec456dd22e2046bfc5abfbe783819d71246de51bfd1a7.jpeg?w\u003d1440\u0026h\u003d810"",""type"":""LANDSCAPE""},""title"":""Hey [user.name], don\u0027t forget to drink water! Should I set a reminder for you?""}]},""text"":""Let\u0027s help you drink lots of water!"",""type"":""CAROUSEL""}"
1799270,3,33,True,I want to set a reminder to drink water. {repeat_banner} 
1799270,3,18,False,"Sure _name_, I just need to know how frequently I should remind you."
1799270,3,18,False,{chatform}{65}
1799270,3,0,True,"Hey, can you set a wake up alarm for me? ⏰ {task}"
1799270,3,18,False,"Sure _name_, I will wake you up! I just need a few details. 🌞"
1799270,3,18,False,{chatform}{33}
1945498,33,39,True,"Hi, I want to set a reminder to drink water. "
1945498,33,0,False,"{""data"":{""items"":[{""actionables"":[{""actionable_text"":""Yes, please do!"",""is_default"":1,""location_required"":false,""payload"":{""message"":""I want to set a reminder to drink water. {repeat_banner}"",""gogo_message"":""""},""type"":""TEXT_ONLY""}],""thumbnail"":{""image"":""http://expert-dashboard.s3.amazonaws.com/content/12df53fea8b3adfa6c2ec456dd22e2046bfc5abfbe783819d71246de51bfd1a7.jpeg?w\u003d1440\u0026h\u003d810"",""type"":""LANDSCAPE""},""title"":""Hey [user.name], don\u0027t forget to drink water! Should I set a reminder for you?""}]},""text"":""Let\u0027s help you drink lots of water!"",""type"":""CAROUSEL""}"
2202237,38,39,True,"Hi, I want to set a reminder to drink water. "
2202237,38,0,False,"{""data"":{""items"":[{""actionables"":[{""actionable_text"":""Yes, please do!"",""is_default"":1,""location_required"":false,""payload"":{""message"":""I want to set a reminder to drink water. {repeat_banner}"",""gogo_message"":""""},""type"":""TEXT_ONLY""}],""thumbnail"":{""image"":""http://expert-dashboard.s3.amazonaws.com/content/12df53fea8b3adfa6c2ec456dd22e2046bfc5abfbe783819d71246de51bfd1a7.jpeg?w\u003d1440\u0026h\u003d810"",""type"":""LANDSCAPE""},""title"":""Hey [user.name], don\u0027t forget to drink water! Should I set a reminder for you?""}]},""text"":""Let\u0027s help you drink lots of water!"",""type"":""CAROUSEL""}"
2202237,38,33,True,I want to set a reminder to drink water. {repeat_banner} 
2202237,38,18,False,"Sure _name_, I just need to know how frequently I should remind you."
2202237,38,18,False,{chatform}{65}
2202237,38,17,True,"Reminder to Drink Water
Frequency of Reminders: 2 hours"
2202237,38,18,False,Great. Let me schedule that for you ⏰. 
2202237,38,19,False,"Alright, your reminder to drink water has been set. We will remind you every 2 hours from 10:00 am to 8:00 pm."
2202237,39,22,False,"Time to grab a glass and drink water, _name_!{card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff53728a769704e46d00fccd344bfd7623f.jpeg?w=720&h=720}"
2240042,13,0,True,Please show my to-do list of pending tasks ✔️. {to_do_list}{task}
2240042,13,24,False,You have no upcoming tasks. Please give some details below if you want to add a to-do.
2240042,13,24,False,{chatform}{101} {132439386}
2240042,13,17,True,"Add a new to-do
Task: Call payal bhabhi for curtains
Date: January 9, 2017
Time: 11 45 a.m."
2240042,13,24,False,"Awesome! It's on me to remind you about this at 11:45 am on Mon, 09 January! {""time"": [1483922700000], ""message"": ""It's 11:45 am! Time to get things done!""}"
2240042,13,24,False,{chatform}{101} {132439562}
2240042,13,17,True,"Add a new to-do
Task: Call Radhika for quotes of curtain shortlisted
Date: January 9, 2017
Time: 11 00 a.m."
2240042,13,24,False,"Awesome! It's on me to remind you about this at 11:00 am on Mon, 09 January! {""time"": [1483920000000], ""message"": ""It's 11:00 am! Time to get things done!""}"
2240042,13,24,False,{chatform}{101} {132439705}
2240042,13,17,True,"Add a new to-do
Task: Show washing machine to mummy
Date: January 9, 2017
Time: 10 47 a.m."
2240042,13,24,False,"Awesome! It's on me to remind you about this at 10:47 am on Mon, 09 January! {""time"": [1483919220000], ""message"": ""It's 10:47 am! Time to get things done!""}"
2240042,13,24,False,{chatform}{101} {132439895}
2240042,14,22,False,"It's time to strike one more thing from your to-do list, _name_! Let's do it!

TASK - Call payal bhabhi for curtains"
2363030,0,39,True,"Hi, I want to set a reminder to drink water. "
2363030,0,0,False,"{""data"":{""items"":[{""actionables"":[{""actionable_text"":""Yes, please do!"",""type"":""TEXT_ONLY"",""payload"":{""message"":""I want to set a reminder to drink water. {repeat_banner}"",""gogo_message"":""""},""location_required"":false,""is_default"":1}],""thumbnail"":{""image"":""http://expert-dashboard.s3.amazonaws.com/content/12df53fea8b3adfa6c2ec456dd22e2046bfc5abfbe783819d71246de51bfd1a7.jpeg?w\u003d1440\u0026h\u003d810"",""type"":""LANDSCAPE""},""title"":""Hey [user.name], don\u0027t forget to drink water! Should I set a reminder for you?""}]},""text"":""Let\u0027s help you drink lots of water!"",""type"":""CAROUSEL""}"
2477849,1,0,True,"Hey, can you send me regular reminders to drink water 💧 ?{task}"
2477849,1,18,False,"Sure _name_, I just need to know how frequently I should remind you."
2477849,1,18,False,{chatform}{65}
2477849,1,0,True,"Hi, I have a meeting coming up, can you remind me?{task}"
2477849,1,18,False,"Definitely _name_, I just need a few details. "
2477849,1,18,False,{chatform}{56}
2477849,1,17,True,"Date: 11-01-2017
Time: 17.00
Meeting with: Rupesh
Venue: Harsh yarn "
2477849,1,18,False,Great. Let me schedule that for you 👍. 
2477849,1,19,False,"Alright, your meeting reminder has been set for 05:00 pm on Wed, 11 January.  You will receive a call from us at that time. Have a great day :) {""time"": [1484114400000], ""message"": ""Hi _name_! This is your reminder call to meet Rupesh. Enjoy :)""}"
2477849,2,25,False,{}
2554914,22,0,True,"Hey, can you set a wake up alarm for me? ⏰{task}"
2554914,22,18,False,"Sure _name_, I will wake you up! I just need a few details. 🌞"
2554914,22,18,False,{chatform}{33}
2554914,22,17,True,"Date: 09-01-2017
Time: 08.00 AM"
2554914,22,18,False,"Thanks, _name_! 👍  I'm scheduling that for you right away."
2554914,22,19,False,"You're all set! I'll make sure you're up at 08:00 am on Mon, 09 January! {""time"": [1483909200000], ""message"": ""Good morning _name_! It's 08:00 am! Time to wake up and have a great day! :)""}"
2554914,23,1,False,{image}{http://haptikappimg.s3.amazonaws.com/content/46164c645cfb1bb8c08ebbdad195b20707b39d0aec5a16908c5a6a5e3dbb14c3.jpeg?w=434&h=121}Here is what I found.
2554914,23,0,False,It was a pleasure assisting you. Good night.
2554914,24,22,False,"The easiest way to stay healthy? Drink more water! Here's your reminder to drink water, _name_!{card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff50098a5200db924210d16be126954bbcd.jpeg?w=720&h=720}"
2563947,11,22,False,"The easiest way to stay healthy? Drink more water! Here's your reminder to drink water, _name_!{card}{http://haptikappimg.s3.amazonaws.com/content/8b8cd297bc8bc690780e03a320c38ff50098a5200db924210d16be126954bbcd.jpeg?w=720&h=720}"
2563947,11,0,True,"Hey, can you send me regular reminders to drink water 💧 ?{task}"
2563947,11,18,False,"Sure _name_, I just need to know how frequently I should remind you."
2563947,11,18,False,{chatform}{65}
2628154,50,0,True,"Hey, can you set a reminder for me to call someone?{task}"
2628154,50,18,False,Sure _name_. I just need a few details to get this done.
2628154,50,0,True,"Hey, can you remind me to wish someone on their birthday?{task}"
2628154,50,18,False,{chatform}{59}
2628154,50,18,False,"Sure _name_, I just need a few details. "
2628154,50,18,False,{chatform}{38}
2628154,50,17,True,"Wish Birthday
Name: Amin taxi
Date: January 9, 2017
Time: 9 07 a.m."
2628154,50,18,False,Thanks. Let me schedule that for you. 🎉 
2628154,50,19,False,"Birthdays are my favourite! I'll remind you about this with a call at 09:07 am on Mon, 09 January! {""time"": [1483913220000], ""message"": ""Time to wish Amin taxi for a happy birthday :)""}"
